exposed_variables | time (ms),exposed_variables | h (dimensionless),exposed_variables | i_K (uA_per_mm2),exposed_variables | i_Leak (uA_per_mm2),exposed_variables | i_Na (uA_per_mm2),exposed_variables | m (dimensionless),exposed_variables | n (dimensionless),exposed_variables | V (mV)
0,0.785,0.232562,0,-0.203986,0.05,0.0935,-73.8
1,0.77049,0.233413,0,-0.264883,0.0671117,0.0935685,-73.6063
2,0.756632,0.234564,0,-0.266901,0.0680767,0.0936412,-73.3405
3,0.743289,0.235733,0,-0.269109,0.0690794,0.0937184,-73.0669
4,0.730356,0.236922,0,-0.271544,0.0701302,0.0938003,-72.7837
5,0.717736,0.238139,0,-0.274236,0.0712376,0.0938872,-72.4892
6,0.705333,0.239389,0,-0.277222,0.072411,0.0939795,-72.1813
7,0.693052,0.240679,0,-0.280544,0.073662,0.0940773,-71.8578
8,0.680797,0.242015,0,-0.284256,0.0750037,0.0941811,-71.516
9,0.66847,0.243406,0,-0.288425,0.0764524,0.0942914,-71.1527
10,0.655965,0.24486,0,-0.293134,0.0780273,0.0944088,-70.7643
11,0.643172,0.246387,0,-0.298489,0.0797523,0.0945338,-70.3465
12,0.629967,0.247998,0,-0.304627,0.0816569,0.0946674,-69.894
13,0.616211,0.249704,0,-0.311726,0.0837787,0.0948104,-69.4003
14,0.601745,0.251522,0,-0.320023,0.0861657,0.0949641,-68.8573
15,0.586381,0.253467,0,-0.32984,0.0888809,0.0951298,-68.2547
16,0.569892,0.255561,0,-0.341628,0.092009,0.0953094,-67.5793
17,0.551996,0.257825,0,-0.356026,0.0956659,0.0955052,-66.8135
18,0.532338,0.260288,0,-0.373985,0.100016,0.0957202,-65.9333
19,0.510455,0.262983,0,-0.396963,0.1053,0.0959585,-64.9052
20,0.485727,0.265947,0,-0.427318,0.111888,0.0962255,-63.6806
21,0.457289,0.269221,0,-0.469088,0.120376,0.0965293,-62.1851
22,0.423897,0.272841,0,-0.529753,0.131796,0.0968821,-60.2986
23,0.383669,0.276811,0,-0.624628,0.148109,0.0973034,-57.8108
24,0.333622,0.281008,0,-0.789758,0.173535,0.0978287,-54.3121
25,0.268948,0.284811,0,-1.12902,0.219033,0.098531,-48.8669
26,0.183602,0.285365,0,-2.05809,0.322985,0.0996007,-38.7187
27,0.0884655,0.269971,0,-6.11194,0.69375,0.101782,-11.1234
28,0.0334647,0.279787,0,-1.84863,0.997833,0.107258,26.2443
29,0.0125799,0.288657,0,-0.438601,0.999769,0.114306,31.5139
30,0.00487437,0.288612,0,-0.178533,0.999782,0.121459,31.4515
31,0.00205046,0.286274,0,-0.094645,0.999726,0.128481,30.1361
32,0.00103276,0.283411,0,-0.0640975,0.999625,0.135307,28.4016
33,0.000684827,0.280633,0,-0.0556543,0.999472,0.141919,26.5406
34,0.00058665,0.278153,0,-0.057323,0.999257,0.148318,24.6786
35,0.000582693,0.276027,0,-0.0637766,0.998967,0.154508,22.8721
36,0.000615036,0.274247,0,-0.0725807,0.998587,0.160501,21.1465
37,0.000661956,0.272783,0,-0.0826177,0.998104,0.166307,19.5135
38,0.000715063,0.271599,0,-0.093348,0.997505,0.171938,17.9782
39,0.000770893,0.270658,0,-0.104475,0.996783,0.177403,16.543
40,0.000827757,0.269926,0,-0.115796,0.995933,0.182716,15.2085
41,0.000884721,0.269372,0,-0.127154,0.994959,0.187885,13.9738
42,0.000941069,0.268969,0,-0.138406,0.993869,0.192922,12.8374
43,0.000996204,0.268692,0,-0.149418,0.992676,0.197837,11.7967
44,0.00104962,0.268521,0,-0.160075,0.991402,0.202638,10.8483
45,0.00110088,0.268437,0,-0.170277,0.990068,0.207336,9.98782
46,0.00114963,0.268426,0,-0.179944,0.988698,0.211937,9.21058
47,0.00119559,0.268474,0,-0.189018,0.987318,0.21645,8.51131
48,0.00123859,0.268571,0,-0.197461,0.985951,0.220882,7.88443
49,0.00127852,0.26871,0,-0.205257,0.984613,0.22524,7.32422
50,0.00131535,0.268883,0,-0.212406,0.983326,0.229529,6.82498
51,0.00134913,0.269085,0,-0.218922,0.982099,0.233754,6.3811
52,0.00137994,0.269312,0,-0.22483,0.980942,0.237921,5.98717
53,0.00140791,0.26956,0,-0.230163,0.979862,0.242034,5.63808
54,0.0014332,0.269828,0,-0.23496,0.978859,0.246096,5.32901
55,0.00145601,0.270113,0,-0.239263,0.977935,0.250112,5.05553
56,0.00147651,0.270414,0,-0.243114,0.977088,0.254083,4.81356
57,0.00149491,0.27073,0,-0.246556,0.976314,0.258013,4.59936
58,0.0015114,0.27106,0,-0.249629,0.975609,0.261905,4.40959
59,0.00152618,0.271405,0,-0.252374,0.974969,0.265759,4.24122
60,0.00153942,0.271762,0,-0.254826,0.974388,0.269578,4.09156
61,0.00155129,0.272134,0,-0.25702,0.97386,0.273364,3.9582
62,0.00156195,0.272518,0,-0.258986,0.97338,0.277118,3.839
63,0.00157154,0.272915,0,-0.260752,0.972944,0.280841,3.73207
64,0.0015802,0.273326,0,-0.262345,0.972546,0.284535,3.63576
65,0.00158804,0.27375,0,-0.263786,0.972182,0.2882,3.54859
66,0.00159517,0.274187,0,-0.265096,0.971847,0.291837,3.46929
67,0.00160168,0.274637,0,-0.266292,0.971538,0.295446,3.39673
68,0.00160766,0.275101,0,-0.267392,0.971251,0.299029,3.32991
69,0.00161319,0.275577,0,-0.268408,0.970983,0.302587,3.26798
70,0.00161833,0.276068,0,-0.269353,0.970732,0.306119,3.21018
71,0.00162314,0.276572,0,-0.270238,0.970494,0.309626,3.15586
72,0.00162767,0.277089,0,-0.271073,0.970268,0.313108,3.10444
73,0.00163196,0.27762,0,-0.271865,0.970051,0.316566,3.05543
74,0.00163607,0.278165,0,-0.272623,0.969842,0.320001,3.0084
75,0.00164002,0.278723,0,-0.273353,0.969639,0.323411,2.96296
76,0.00164384,0.279295,0,-0.274059,0.969441,0.326799,2.91879
77,0.00164756,0.279881,0,-0.274748,0.969246,0.330163,2.87561
78,0.00165121,0.28048,0,-0.275423,0.969054,0.333505,2.83317
79,0.0016548,0.281093,0,-0.276087,0.968863,0.336824,2.79125
80,0.00165835,0.28172,0,-0.276745,0.968674,0.34012,2.74967
81,0.00166188,0.282361,0,-0.277399,0.968484,0.343395,2.70828
82,0.00166541,0.283016,0,-0.278051,0.968293,0.346647,2.66693
83,0.00166893,0.283684,0,-0.278703,0.968101,0.349877,2.6255
84,0.00167247,0.284365,0,-0.279358,0.967908,0.353085,2.58389
85,0.00167603,0.285061,0,-0.280016,0.967712,0.356272,2.54201
86,0.00167962,0.28577,0,-0.28068,0.967513,0.359437,2.49978
87,0.00168325,0.286492,0,-0.281349,0.967312,0.362581,2.45715
88,0.00168692,0.287228,0,-0.282026,0.967108,0.365704,2.41405
89,0.00169064,0.287978,0,-0.282711,0.9669,0.368805,2.37043
90,0.00169441,0.28874,0,-0.283405,0.966688,0.371885,2.32627
91,0.00169824,0.289516,0,-0.284109,0.966472,0.374945,2.28151
92,0.00170213,0.290305,0,-0.284823,0.966252,0.377983,2.23614
93,0.00170608,0.291107,0,-0.285547,0.966028,0.381001,2.19013
94,0.0017101,0.291923,0,-0.286282,0.965799,0.383998,2.14345
95,0.00171418,0.292751,0,-0.287028,0.965566,0.386975,2.09611
96,0.00171833,0.293591,0,-0.287785,0.965328,0.389931,2.04807
97,0.00172256,0.294445,0,-0.288555,0.965085,0.392867,1.99934
98,0.00172685,0.295311,0,-0.289336,0.964836,0.395782,1.9499
99,0.00173122,0.296189,0,-0.290129,0.964583,0.398678,1.89975
100,0.00173567,0.29708,0,-0.290934,0.964325,0.401554,1.84889
101,0.00174019,0.297983,0,-0.291751,0.964062,0.404409,1.79732
102,0.00174478,0.298898,0,-0.29258,0.963793,0.407245,1.74503
103,0.00174946,0.299825,0,-0.293422,0.963518,0.410061,1.69203
104,0.00175421,0.300763,0,-0.294275,0.963239,0.412858,1.63832
105,0.00175903,0.301713,0,-0.295141,0.962953,0.415635,1.5839
106,0.00176394,0.302675,0,-0.296019,0.962662,0.418392,1.52878
107,0.00176892,0.303648,0,-0.296909,0.962366,0.42113,1.47296
108,0.00177398,0.304632,0,-0.29781,0.962064,0.423849,1.41646
109,0.00177911,0.305628,0,-0.298724,0.961756,0.426549,1.35926
110,0.00178433,0.306634,0,-0.299649,0.961442,0.42923,1.30139
111,0.00178962,0.30765,0,-0.300586,0.961123,0.431892,1.24286
112,0.001795,0.308678,0,-0.301534,0.960797,0.434535,1.18366
113,0.00180045,0.309715,0,-0.302494,0.960466,0.437159,1.1238
114,0.00180597,0.310763,0,-0.303465,0.960129,0.439765,1.06331
115,0.00181158,0.311821,0,-0.304447,0.959785,0.442352,1.00218
116,0.00181726,0.312888,0,-0.30544,0.959436,0.444921,0.940418
117,0.00182302,0.313966,0,-0.306444,0.959081,0.447471,0.878045
118,0.00182886,0.315052,0,-0.307459,0.958719,0.450003,0.815066
119,0.00183477,0.316148,0,-0.308484,0.958352,0.452517,0.75149
120,0.00184076,0.317253,0,-0.309519,0.957978,0.455013,0.687328
121,0.00184682,0.318367,0,-0.310565,0.957598,0.457491,0.62259
122,0.00185296,0.31949,0,-0.31162,0.957212,0.459952,0.557286
123,0.00185918,0.320621,0,-0.312685,0.95682,0.462394,0.491427
124,0.00186547,0.321761,0,-0.31376,0.956422,0.464819,0.425023
125,0.00187184,0.322909,0,-0.314845,0.956017,0.467226,0.358084
126,0.00187828,0.324065,0,-0.315938,0.955606,0.469616,0.290621
127,0.00188479,0.325228,0,-0.317041,0.955188,0.471988,0.222644
128,0.00189138,0.3264,0,-0.318152,0.954765,0.474343,0.154164
129,0.00189804,0.327578,0,-0.319272,0.954335,0.476681,0.0851906
130,0.00190478,0.328764,0,-0.320401,0.953898,0.479002,0.0157352
131,0.00191158,0.329957,0,-0.321538,0.953455,0.481306,-0.0541921
132,0.00191846,0.331157,0,-0.322683,0.953006,0.483594,-0.124581
133,0.00192541,0.332363,0,-0.323835,0.95255,0.485864,-0.195422
134,0.00193244,0.333576,0,-0.324996,0.952088,0.488118,-0.266704
135,0.00193953,0.334795,0,-0.326163,0.951619,0.490355,-0.338417
136,0.00194669,0.33602,0,-0.327339,0.951144,0.492576,-0.410551
137,0.00195393,0.33725,0,-0.328521,0.950662,0.49478,-0.483096
138,0.00196123,0.338487,0,-0.32971,0.950174,0.496969,-0.556043
139,0.0019686,0.339729,0,-0.330905,0.949679,0.499141,-0.629381
140,0.00197605,0.340976,0,-0.332107,0.949178,0.501297,-0.703102
141,0.00198356,0.342229,0,-0.333316,0.94867,0.503437,-0.777195
142,0.00199114,0.343486,0,-0.33453,0.948155,0.505561,-0.851651
143,0.00199878,0.344748,0,-0.33575,0.947634,0.507669,-0.926462
144,0.0020065,0.346015,0,-0.336976,0.947106,0.509762,-1.00162
145,0.00201428,0.347286,0,-0.338207,0.946572,0.511839,-1.07711
146,0.00202213,0.348561,0,-0.339443,0.946031,0.513901,-1.15293
147,0.00203005,0.34984,0,-0.340685,0.945483,0.515947,-1.22906
148,0.00203803,0.351123,0,-0.341931,0.944929,0.517978,-1.30551
149,0.00204608,0.352409,0,-0.343182,0.944368,0.519994,-1.38226
150,0.00205419,0.353699,0,-0.344437,0.9438,0.521995,-1.4593
151,0.00206237,0.354992,0,-0.345696,0.943226,0.523981,-1.53663
152,0.00207062,0.356288,0,-0.346959,0.942645,0.525952,-1.61423
153,0.00207893,0.357587,0,-0.348226,0.942057,0.527908,-1.69211
154,0.0020873,0.358889,0,-0.349497,0.941462,0.529849,-1.77024
155,0.00209574,0.360193,0,-0.350771,0.940861,0.531776,-1.84863
156,0.00210424,0.3615,0,-0.352048,0.940253,0.533689,-1.92727
157,0.00211281,0.362808,0,-0.353329,0.939639,0.535587,-2.00615
158,0.00212143,0.364119,0,-0.354612,0.939017,0.53747,-2.08526
159,0.00213013,0.365431,0,-0.355898,0.938389,0.53934,-2.1646
160,0.00213888,0.366746,0,-0.357186,0.937754,0.541195,-2.24416
161,0.0021477,0.368061,0,-0.358476,0.937112,0.543037,-2.32393
162,0.00215658,0.369378,0,-0.359769,0.936464,0.544864,-2.40391
163,0.00216552,0.370696,0,-0.361063,0.935809,0.546677,-2.48409
164,0.00217453,0.372015,0,-0.362359,0.935147,0.548477,-2.56446
165,0.00218359,0.373335,0,-0.363657,0.934478,0.550263,-2.64503
166,0.00219272,0.374656,0,-0.364955,0.933802,0.552036,-2.72577
167,0.00220191,0.375977,0,-0.366255,0.93312,0.553795,-2.8067
168,0.00221117,0.377299,0,-0.367556,0.93243,0.55554,-2.8878
169,0.00222048,0.37862,0,-0.368858,0.931734,0.557273,-2.96907
170,0.00222985,0.379942,0,-0.370161,0.931031,0.558992,-3.0505
171,0.00223929,0.381263,0,-0.371464,0.930322,0.560698,-3.13208
172,0.00224879,0.382585,0,-0.372767,0.929605,0.562391,-3.21383
173,0.00225835,0.383906,0,-0.37407,0.928882,0.564071,-3.29572
174,0.00226797,0.385226,0,-0.375373,0.928151,0.565738,-3.37775
175,0.00227765,0.386546,0,-0.376676,0.927414,0.567392,-3.45993
176,0.00228739,0.387864,0,-0.377979,0.92667,0.569034,-3.54224
177,0.00229719,0.389182,0,-0.379281,0.925919,0.570663,-3.62469
178,0.00230706,0.390499,0,-0.380582,0.925162,0.57228,-3.70726
179,0.00231698,0.391814,0,-0.381883,0.924397,0.573884,-3.78996
180,0.00232697,0.393128,0,-0.383183,0.923626,0.575476,-3.87278
181,0.00233701,0.394441,0,-0.384481,0.922847,0.577055,-3.95572
182,0.00234712,0.395752,0,-0.385778,0.922062,0.578623,-4.03877
183,0.00235729,0.397061,0,-0.387074,0.92127,0.580178,-4.12194
184,0.00236752,0.398368,0,-0.388368,0.920471,0.581721,-4.20522
185,0.00237781,0.399673,0,-0.38966,0.919665,0.583252,-4.2886
186,0.00238817,0.400975,0,-0.390951,0.918852,0.584772,-4.37209
187,0.00239858,0.402276,0,-0.392239,0.918032,0.58628,-4.45568
188,0.00240906,0.403574,0,-0.393525,0.917205,0.587776,-4.53937
189,0.0024196,0.404869,0,-0.394809,0.916371,0.58926,-4.62316
190,0.0024302,0.406162,0,-0.39609,0.915531,0.590733,-4.70704
191,0.00244086,0.407452,0,-0.397369,0.914683,0.592194,-4.79102
192,0.00245159,0.408739,0,-0.398645,0.913828,0.593644,-4.87508
193,0.00246238,0.410023,0,-0.399919,0.912967,0.595083,-4.95924
194,0.00247323,0.411304,0,-0.401189,0.912098,0.59651,-5.04349
195,0.00248415,0.412582,0,-0.402456,0.911223,0.597927,-5.12782
196,0.00249512,0.413856,0,-0.40372,0.91034,0.599332,-5.21224
197,0.00250617,0.415127,0,-0.404981,0.90945,0.600726,-5.29675
198,0.00251727,0.416394,0,-0.406238,0.908553,0.60211,-5.38134
199,0.00252845,0.417657,0,-0.407492,0.90765,0.603482,-5.46601
200,0.00253968,0.418917,0,-0.408741,0.906739,0.604844,-5.55077
201,0.00255098,0.420173,0,-0.409987,0.905821,0.606195,-5.6356
202,0.00256235,0.421425,0,-0.41123,0.904896,0.607535,-5.72052
203,0.00257379,0.422672,0,-0.412468,0.903964,0.608865,-5.80552
204,0.00258529,0.423916,0,-0.413701,0.903024,0.610184,-5.8906
205,0.00259685,0.425155,0,-0.414931,0.902078,0.611493,-5.97576
206,0.00260849,0.42639,0,-0.416156,0.901125,0.612792,-6.061
207,0.00262019,0.42762,0,-0.417377,0.900164,0.61408,-6.14632
208,0.00263196,0.428846,0,-0.418593,0.899196,0.615358,-6.23172
209,0.0026438,0.430067,0,-0.419805,0.898221,0.616626,-6.3172
210,0.00265571,0.431283,0,-0.421011,0.897238,0.617884,-6.40276
211,0.00266769,0.432495,0,-0.422213,0.896249,0.619132,-6.4884
212,0.00267974,0.433701,0,-0.42341,0.895252,0.62037,-6.57413
213,0.00269186,0.434903,0,-0.424601,0.894247,0.621598,-6.65993
214,0.00270405,0.436099,0,-0.425788,0.893236,0.622816,-6.74582
215,0.00271632,0.437291,0,-0.426969,0.892217,0.624025,-6.8318
216,0.00272866,0.438477,0,-0.428144,0.891191,0.625223,-6.91786
217,0.00274107,0.439657,0,-0.429314,0.890157,0.626413,-7.00401
218,0.00275356,0.440833,0,-0.430479,0.889116,0.627592,-7.09024
219,0.00276612,0.442002,0,-0.431638,0.888068,0.628763,-7.17657
220,0.00277876,0.443167,0,-0.432791,0.887012,0.629923,-7.26298
221,0.00279147,0.444325,0,-0.433939,0.885948,0.631075,-7.34949
222,0.00280427,0.445478,0,-0.43508,0.884877,0.632217,-7.43609
223,0.00281714,0.446625,0,-0.436215,0.883799,0.63335,-7.52279
224,0.00283009,0.447766,0,-0.437344,0.882712,0.634473,-7.60958
225,0.00284312,0.448901,0,-0.438468,0.881619,0.635588,-7.69648
226,0.00285623,0.45003,0,-0.439584,0.880517,0.636693,-7.78347
227,0.00286943,0.451153,0,-0.440695,0.879408,0.63779,-7.87058
228,0.00288271,0.45227,0,-0.441799,0.878291,0.638877,-7.95778
229,0.00289607,0.453381,0,-0.442896,0.877166,0.639956,-8.0451
230,0.00290952,0.454485,0,-0.443987,0.876033,0.641026,-8.13253
231,0.00292305,0.455583,0,-0.445071,0.874893,0.642087,-8.22007
232,0.00293668,0.456674,0,-0.446148,0.873744,0.643139,-8.30773
233,0.00295039,0.45776,0,-0.447219,0.872588,0.644182,-8.39551
234,0.00296419,0.458838,0,-0.448283,0.871424,0.645217,-8.48342
235,0.00297808,0.45991,0,-0.449339,0.870251,0.646244,-8.57144
236,0.00299207,0.460975,0,-0.450389,0.869071,0.647262,-8.6596
237,0.00300615,0.462034,0,-0.451431,0.867882,0.648271,-8.74788
238,0.00302032,0.463085,0,-0.452467,0.866685,0.649272,-8.83631
239,0.00303459,0.46413,0,-0.453495,0.86548,0.650265,-8.92487
240,0.00304896,0.465168,0,-0.454515,0.864266,0.651249,-9.01357
241,0.00306342,0.466199,0,-0.455528,0.863044,0.652225,-9.10242
242,0.00307799,0.467223,0,-0.456534,0.861814,0.653193,-9.19142
243,0.00309266,0.46824,0,-0.457532,0.860575,0.654153,-9.28057
244,0.00310744,0.46925,0,-0.458522,0.859328,0.655105,-9.36989
245,0.00312231,0.470252,0,-0.459505,0.858071,0.656048,-9.45937
246,0.0031373,0.471248,0,-0.460479,0.856807,0.656984,-9.54902
247,0.0031524,0.472236,0,-0.461446,0.855533,0.657911,-9.63884
248,0.00316761,0.473216,0,-0.462405,0.85425,0.658831,-9.72884
249,0.00318293,0.474189,0,-0.463356,0.852959,0.659743,-9.81903
250,0.00319836,0.475155,0,-0.464299,0.851658,0.660647,-9.9094
251,0.00321391,0.476113,0,-0.465234,0.850349,0.661543,-9.99996
252,0.00322958,0.477064,0,-0.466161,0.84903,0.662432,-10.0907
253,0.00324537,0.478007,0,-0.467079,0.847702,0.663312,-10.1817
254,0.00326128,0.478942,0,-0.467988,0.846364,0.664186,-10.2729
255,0.00327732,0.47987,0,-0.46889,0.845017,0.665051,-10.3642
256,0.00329348,0.48079,0,-0.469783,0.84366,0.665909,-10.4559
257,0.00330978,0.481702,0,-0.470667,0.842294,0.66676,-10.5477
258,0.00332621,0.482606,0,-0.471542,0.840918,0.667603,-10.6398
259,0.00334277,0.483502,0,-0.472409,0.839532,0.668438,-10.7321
260,0.00335947,0.484391,0,-0.473267,0.838136,0.669266,-10.8247
261,0.0033763,0.485271,0,-0.474116,0.83673,0.670087,-10.9175
262,0.00339329,0.486143,0,-0.474957,0.835313,0.6709,-11.0106
263,0.00341041,0.487007,0,-0.475788,0.833886,0.671707,-11.1039
264,0.00342769,0.487863,0,-0.47661,0.832449,0.672505,-11.1976
265,0.00344512,0.48871,0,-0.477423,0.831001,0.673297,-11.2915
266,0.0034627,0.48955,0,-0.478226,0.829542,0.674082,-11.3857
267,0.00348043,0.490381,0,-0.47902,0.828073,0.674859,-11.4802
268,0.00349833,0.491203,0,-0.479805,0.826592,0.675629,-11.575
269,0.0035164,0.492018,0,-0.48058,0.8251,0.676392,-11.6702
270,0.00353463,0.492823,0,-0.481346,0.823597,0.677149,-11.7657
271,0.00355304,0.49362,0,-0.482102,0.822082,0.677898,-11.8615
272,0.00357162,0.494409,0,-0.482848,0.820555,0.67864,-11.9576
273,0.00359037,0.495189,0,-0.483584,0.819017,0.679375,-12.0542
274,0.00360932,0.49596,0,-0.48431,0.817466,0.680103,-12.1511
275,0.00362845,0.496722,0,-0.485026,0.815903,0.680825,-12.2483
276,0.00364777,0.497476,0,-0.485732,0.814328,0.68154,-12.346
277,0.00366729,0.498221,0,-0.486428,0.81274,0.682247,-12.4441
278,0.00368701,0.498957,0,-0.487114,0.811139,0.682948,-12.5425
279,0.00370694,0.499684,0,-0.487788,0.809526,0.683643,-12.6414
280,0.00372708,0.500402,0,-0.488453,0.807899,0.68433,-12.7408
281,0.00374743,0.50111,0,-0.489106,0.806258,0.685011,-12.8406
282,0.00376801,0.50181,0,-0.489749,0.804603,0.685685,-12.9409
283,0.00378882,0.5025,0,-0.490381,0.802935,0.686352,-13.0416
284,0.00380985,0.503181,0,-0.491002,0.801252,0.687013,-13.1429
285,0.00383113,0.503853,0,-0.491612,0.799555,0.687667,-13.2446
286,0.00385266,0.504516,0,-0.49221,0.797843,0.688315,-13.3469
287,0.00387443,0.505168,0,-0.492797,0.796116,0.688956,-13.4497
288,0.00389647,0.505812,0,-0.493372,0.794373,0.689591,-13.5531
289,0.00391877,0.506446,0,-0.493936,0.792615,0.690219,-13.657
290,0.00394135,0.50707,0,-0.494488,0.790841,0.69084,-13.7616
291,0.0039642,0.507684,0,-0.495028,0.78905,0.691455,-13.8667
292,0.00398735,0.508288,0,-0.495556,0.787243,0.692064,-13.9725
293,0.0040108,0.508883,0,-0.496071,0.785418,0.692666,-14.079
294,0.00403455,0.509467,0,-0.496574,0.783576,0.693262,-14.1861
295,0.00405862,0.510042,0,-0.497064,0.781716,0.693851,-14.2939
296,0.00408301,0.510606,0,-0.497541,0.779838,0.694434,-14.4024
297,0.00410774,0.51116,0,-0.498006,0.777942,0.695011,-14.5116
298,0.00413281,0.511704,0,-0.498457,0.776026,0.695581,-14.6216
299,0.00415824,0.512238,0,-0.498894,0.774091,0.696145,-14.7324
300,0.00418403,0.51276,0,-0.499319,0.772135,0.696702,-14.844
301,0.00421021,0.513273,0,-0.499729,0.770159,0.697253,-14.9565
302,0.00423678,0.513774,0,-0.500125,0.768163,0.697798,-15.0698
303,0.00426375,0.514265,0,-0.500506,0.766144,0.698337,-15.184
304,0.00429114,0.514744,0,-0.500873,0.764104,0.698869,-15.2991
305,0.00431896,0.515213,0,-0.501225,0.76204,0.699395,-15.4152
306,0.00434722,0.515671,0,-0.501562,0.759954,0.699915,-15.5322
307,0.00437595,0.516117,0,-0.501884,0.757843,0.700428,-15.6503
308,0.00440516,0.516552,0,-0.502189,0.755708,0.700935,-15.7694
309,0.00443487,0.516975,0,-0.502479,0.753548,0.701436,-15.8897
310,0.00446509,0.517387,0,-0.502752,0.751361,0.70193,-16.0111
311,0.00449584,0.517786,0,-0.503008,0.749148,0.702419,-16.1336
312,0.00452715,0.518174,0,-0.503248,0.746907,0.702901,-16.2574
313,0.00455904,0.51855,0,-0.503469,0.744638,0.703376,-16.3824
314,0.00459152,0.518913,0,-0.503673,0.74234,0.703846,-16.5087
315,0.00462462,0.519264,0,-0.503858,0.740011,0.704309,-16.6364
316,0.00465836,0.519602,0,-0.504025,0.737652,0.704765,-16.7655
317,0.00469278,0.519927,0,-0.504172,0.73526,0.705216,-16.8961
318,0.0047279,0.52024,0,-0.504299,0.732836,0.70566,-17.0281
319,0.00476374,0.520539,0,-0.504406,0.730377,0.706098,-17.1617
320,0.00480034,0.520825,0,-0.504492,0.727883,0.706529,-17.297
321,0.00483774,0.521097,0,-0.504557,0.725353,0.706954,-17.434
322,0.00487596,0.521355,0,-0.504599,0.722785,0.707373,-17.5727
323,0.00491505,0.521599,0,-0.504619,0.720177,0.707785,-17.7132
324,0.00495504,0.521829,0,-0.504615,0.71753,0.70819,-17.8557
325,0.00499598,0.522044,0,-0.504587,0.714841,0.70859,-18.0002
326,0.0050379,0.522244,0,-0.504534,0.712108,0.708982,-18.1467
327,0.00508087,0.522429,0,-0.504455,0.70933,0.709368,-18.2954
328,0.00512492,0.522598,0,-0.50435,0.706506,0.709748,-18.4463
329,0.00517011,0.522752,0,-0.504217,0.703634,0.710121,-18.5996
330,0.0052165,0.522889,0,-0.504055,0.700712,0.710487,-18.7552
331,0.00526414,0.52301,0,-0.503864,0.697738,0.710847,-18.9135
332,0.00531311,0.523114,0,-0.503642,0.69471,0.7112,-19.0744
333,0.00536347,0.5232,0,-0.503389,0.691626,0.711546,-19.238
334,0.00541531,0.523269,0,-0.503102,0.688483,0.711885,-19.4046
335,0.00546869,0.52332,0,-0.502781,0.685279,0.712217,-19.5742
336,0.00552371,0.523352,0,-0.502424,0.682013,0.712543,-19.747
337,0.00558046,0.523365,0,-0.50203,0.67868,0.712861,-19.923
338,0.00563905,0.523358,0,-0.501598,0.675279,0.713172,-20.1026
339,0.00569956,0.523331,0,-0.501125,0.671807,0.713476,-20.2858
340,0.00576213,0.523283,0,-0.500611,0.668261,0.713773,-20.4727
341,0.00582687,0.523214,0,-0.500052,0.664637,0.714062,-20.6637
342,0.00589392,0.523123,0,-0.499448,0.660932,0.714344,-20.8588
343,0.00596343,0.523009,0,-0.498796,0.657143,0.714619,-21.0583
344,0.00603556,0.522872,0,-0.498094,0.653266,0.714885,-21.2624
345,0.00611048,0.522711,0,-0.49734,0.649297,0.715144,-21.4714
346,0.00618837,0.522524,0,-0.496531,0.645232,0.715395,-21.6854
347,0.00626944,0.522312,0,-0.495666,0.641067,0.715639,-21.9047
348,0.0063539,0.522073,0,-0.49474,0.636798,0.715874,-22.1296
349,0.006442,0.521807,0,-0.493752,0.632419,0.7161,-22.3603
350,0.00653399,0.521512,0,-0.492698,0.627927,0.716319,-22.5972
351,0.00663016,0.521187,0,-0.491576,0.623316,0.716529,-22.8407
352,0.00673083,0.520831,0,-0.490382,0.618581,0.71673,-23.0909
353,0.00683634,0.520444,0,-0.489112,0.613716,0.716922,-23.3483
354,0.00694706,0.520023,0,-0.487764,0.608716,0.717105,-23.6132
355,0.00706339,0.519568,0,-0.486334,0.603576,0.717278,-23.8861
356,0.00718579,0.519077,0,-0.484818,0.598288,0.717443,-24.1672
357,0.00731475,0.518549,0,-0.483212,0.592849,0.717597,-24.4572
358,0.00745082,0.517982,0,-0.481513,0.58725,0.717742,-24.7563
359,0.00759461,0.517374,0,-0.479715,0.581485,0.717876,-25.0651
360,0.00774678,0.516725,0,-0.477817,0.575549,0.718,-25.3841
361,0.00790806,0.516032,0,-0.475812,0.569435,0.718113,-25.7138
362,0.00807927,0.515293,0,-0.473699,0.563137,0.718216,-26.0546
363,0.00826131,0.514507,0,-0.471473,0.556649,0.718306,-26.4072
364,0.00845516,0.513671,0,-0.46913,0.549965,0.718386,-26.772
365,0.00866194,0.512784,0,-0.466668,0.54308,0.718453,-27.1497
366,0.00888288,0.511843,0,-0.464083,0.535988,0.718508,-27.5407
367,0.00911935,0.510847,0,-0.461373,0.528685,0.718551,-27.9458
368,0.00937289,0.509793,0,-0.458536,0.521166,0.71858,-28.3654
369,0.0096452,0.508679,0,-0.455571,0.513427,0.718596,-28.8002
370,0.00993819,0.507503,0,-0.452475,0.505467,0.718598,-29.2507
371,0.010254,0.506262,0,-0.449253,0.497284,0.718586,-29.7175
372,0.0105949,0.504954,0,-0.445904,0.48888,0.71856,-30.201
373,0.0109636,0.503577,0,-0.442431,0.480255,0.718518,-30.7018
374,0.0113631,0.502129,0,-0.438838,0.471414,0.718461,-31.2202
375,0.0117966,0.500607,0,-0.435129,0.462359,0.718388,-31.7567
376,0.0122679,0.49901,0,-0.431311,0.453098,0.718298,-32.3116
